desc,create_time,author_user_id,music_author,music_title,music_create_time,music_duration,music_id,collect_count,comment_count,digg_count,forward_count,play_count,share_count,video_url
"Tak payah susah susah nak kulit fresh everyday, garnier is here to help you! Now they have sunscreen yang instant cooling & stay fresh for 8 hr ❄️  @GarnierMY #GarnierMalaysia #GarnierMY #GarnierSkincare #GarnierSuperUV #GarnierSunscreen #SuperUVCooling #WatergelSunscreen #SPF50",1745572990,6697888345027232769,ya-su,Coffee and Chords,1721375767.0,305.0,7393252024915560449,5200.0,124.0,39006.0,0.0,12667048.0,1137.0,https://www.tiktok.com/@mnm_pipi/video/7497178873373740309
Yes! Betul. Sekarang ni Carrie Junior Hair & Body Wash 700g pun dah ada FREE toys tau. Mesti anak- anak happy 🥰  #CarrieJunior #CarrieMY #CarrieFunTime #toys #unboxingtoys # ToyMagnetUnboxing #CarrieToys #toysforkid #unboxing #blindbox #fyp #carriejuniornewtoy,1745240887,7168261334378988550,CARRIE JUNIOR MALAYSIA,original sound - carriejuniormalaysia,1745240892.0,57.0,7495752551678135057,744.0,279.0,6397.0,0.0,14361537.0,376.0,https://www.tiktok.com/@mnm_pipi/video/7495752519537265927
Complete UV and Blue Light Protection☀️ Full protection against UV + blue light! Eucerin Spotless Brightening Sun Serum SPF50+ PA++++ with Thiamidol prevents and reduces sun spots— dermatologically tested. ✨ #MyEucerin #Thiamidol #EucerinSunSerum #Eucerinsunprotection #sunscreen #SPF #dailySPF,1744099152,7024016574178001921,Eucerin Malaysia,original sound - eucerinmalaysia,1744099155.0,6.0,7490848825079253777,877.0,24.0,5550.0,0.0,23576535.0,682.0,https://www.tiktok.com/@mnm_pipi/video/7490848785485155591
"#HUAWEIWATCHFIT4Series direka untuk golongan yang minat dalam menerokai, dengan fungsi Barometer baharu dan Dual-band GPS untuk penentuan lokasi yang lebih tepat dan lebih profesional. Mod sukan profesional seperti Mod Golf, Selaman Bebas 40m dan Larian Denai tersedia dalam HUAWEI WATCH FIT 4 Pro. #HUAWEIMY #HUAWEIWATCHFIT4Pro #HUAWEIWATCHFIT4 #HUAWEILaunch ",1747644870,6815758082208531457,HUAWEI Malaysia,original sound - huaweimobilemy,1747644874.0,30.0,7506077572594813712,1686.0,70.0,21758.0,0.0,12532002.0,721.0,https://www.tiktok.com/@mnm_pipi/video/7506077541149723912
"Updated caption -  🔥 RM1 Deal You Can’t Miss! 🔥 Get your hands on Coke Zero + Fanta 250ml for just RM1 at any store nationwide! 🥤✨ Whether you’re craving the classic Coke Zero or the fruity burst of Fanta (Orange, Grape, or Strawberry), this deal is too good to pass up! 😍 Tag your friends & grab yours today before it’s gone! 🏃‍♂️💨  @fanta_my  #FantaXCokeZero #OnlyRM1 #DrinkUp ",1742972477,6959525938279629826,ALIFF ALVIN,original sound - imaliffalvins,1742972484.0,34.0,7486009809364470544,1442.0,108.0,19214.0,0.0,29122190.0,743.0,https://www.tiktok.com/@mnm_pipi/video/7486009765299047687
"Pada 1 Mei, NESCAFE X @foodpanda_my bergabung tenaga untuk memberi semangat kepada beribu rider. Kita payung kopi NESCAFE Cans kepada rider-rider untuk kekal kental dan recharge 💪#NgopiDuluDenganNESCAFE #NESCAFECans ",1746429234,7385112462465434631,NESCAFÉ Malaysia,original sound - nescafe.my,1746429237.0,20.0,7500856453033413393,2570.0,0.0,37135.0,0.0,12256911.0,1063.0,https://www.tiktok.com/@mnm_pipi/video/7500856378114854161
"@NIVEA Malaysia Ada plan nak beraya rumah CRUSH korang Raya nanti? 😉 Siapkan dulu muka korang dengan NIVEA MEN DEEP Mud Foam! Dengan kuasa arang di dalamnya, ia memberi 8 Jam kawalan minyak. Barulah crush korang terpikat! 💯 Selamat Hari Raya!✨🌙 #NIVEAMEN #myNIVEAMEN #RayaBersamaNIVEA #NIVEAMENDEEP",1743062206,6850162330975601665,Ahmadezzrinloy,original sound - ahmadezzrinloy,1743062211.0,60.0,7486395182311099137,7171.0,342.0,137561.0,0.0,23921958.0,1643.0,https://www.tiktok.com/@mnm_pipi/video/7486395093826456849
We have better plans  #BlockBlast #BlockBlastLove ,1742988617,6800785601782236166,Mr. Smokey,original sound - mr_smokey21,1742988621.0,10.0,7486079082716334870,627584.0,53318.0,17702881.0,0.0,543058279.0,1310048.0,https://www.tiktok.com/@mnm_pipi/video/7486079083252649238
"Solo missions don’t win titles — we grind together, we rise together. #YouGotThis @adidas ",1747359250,6791824353513948162,AQIL FARHAN,original sound - aqilfrhn,1747359254.0,42.0,7504850838909750032,2705.0,14.0,48795.0,0.0,12291964.0,1575.0,https://www.tiktok.com/@mnm_pipi/video/7504850801626500370
"Oops, I hope she’s okay 🤫👀 But I cannot blame NIVEA pulak sebab the NIVEA Intensive Moisture ni ada 2x badan pelembap untuk kekalkan kelembapan sampai 48 jam ok! Plus, cuaca sekarang ni elok sangat pakai lotion yang ringan & tak melekit macam ni 💓🙌🏻 Pakai sekali je, kulit korang terus jadi lembut and sihat 🪽 #NIVEAIntensiveMoisture #myNIVEA #StopBuyingWateryLotion #BodyLotion #MoistureLotion ",1745996517,6773933274596983810,Rita Nadira,original sound - ritanadira_,1745996532.0,41.0,7498998000488811280,5193.0,236.0,92064.0,0.0,11689558.0,1603.0,https://www.tiktok.com/@mnm_pipi/video/7498997911254994194
